section,design,arm,batch,status,score,baseline_score,rounds,rounds_with_new_sequences,new_sequences,requests,tokens,unknown_requests,accounting_complete,seconds,percent,modules,bins,usage,error,stop_reason,framework_fingerprint,source,source_sha256
"historical_paired","uart","haven","","completed","95.24736442419369","90.93389841865451","3","3","12","3","177267","0","true","437.73082657158375","{""line"":97.61904761904762,""cond"":92.3076923076923,""toggle"":94.63414634146342,""branch"":96.42857142857143}","[""uart_top""]","{""line"":[84,82],""cond"":[78,72],""toggle"":[410,388],""branch"":[56,54]}","{""prompt_tokens"":97707,""completion_tokens"":79560,""total_tokens"":177267}","","round_budget","665721f0a795e8670bd7cd90d30d6fcf6cf88d140c7feb3e82cd0863c2ec5294","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/uart/flow/paired/summary.json","2d796797c3cdba1836c2391f6206280ed8bb31765aa74885d4446c6d176ade49"
"historical_paired","uart","rvprobe","","failed","90.93389841865451","90.93389841865451","0","0","0","7","254827","0","true","898.665161547251","{""line"":96.42857142857143,""cond"":84.61538461538461,""toggle"":88.04878048780488,""branch"":94.64285714285714}","[""uart_top""]","{""line"":[84,81],""cond"":[78,66],""toggle"":[410,361],""branch"":[56,53]}","{""prompt_tokens"":206635,""completion_tokens"":48192,""total_tokens"":254827}","Command '['/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/eda-shell', '-c', 'jg -batch -tcl /dev/shm/rvprobe-paired16-parallel-20260912-v1/uart/flow/paired/rvprobe/round-1/native-witness-search/loopback_rbr_reads_return_written_bytes/sampling/sample.tcl -proj /dev/shm/rvprobe-paired16-parallel-20260912-v1/uart/flow/paired/rvprobe/round-1/native-witness-search/loopback_rbr_reads_return_written_bytes/sampling/jgproj']' returned non-zero exit status 1.","","665721f0a795e8670bd7cd90d30d6fcf6cf88d140c7feb3e82cd0863c2ec5294","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/uart/flow/paired/summary.json","2d796797c3cdba1836c2391f6206280ed8bb31765aa74885d4446c6d176ade49"
"historical_paired","can","haven","","failed","95.91259057971014","95.91259057971014","0","0","0","2","358602","0","true","558.1498422510922","{""line"":100,""cond"":91.66666666666667,""toggle"":91.9836956521739,""branch"":100}","[""can_top""]","{""line"":[27,27],""cond"":[36,33],""toggle"":[736,677],""branch"":[9,9]}","{""prompt_tokens"":239061,""completion_tokens"":119541,""total_tokens"":358602}","1 candidate sequences failed: can_top_gap_hard_sync_overload_error_seq: shared simulation failed or timed out: UVM_ERROR sequence_1.sv(259) @ 1831615000: uvm_test_top.m_env.m_wb_agent.m_sequencer@@seq_1 [wait_rx_error_counter_nonzero] Poll timeout; UVM_ERROR :    1","","665721f0a795e8670bd7cd90d30d6fcf6cf88d140c7feb3e82cd0863c2ec5294","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/summary.json","92f1c88d280ccc21875f3ab16cb2d3e3e1856e9fe87f9b6a8dc4bb8ba2c317fc"
"historical_paired","can","rvprobe","","failed","97.7770229468599","95.91259057971014","1","1","16","48","3339410","0","true","1579.298857438378","{""line"":100,""cond"":97.22222222222223,""toggle"":93.88586956521739,""branch"":100}","[""can_top""]","{""line"":[27,27],""cond"":[36,35],""toggle"":[736,691],""branch"":[9,9]}","{""prompt_tokens"":3124524,""completion_tokens"":214886,""total_tokens"":3339410}","Command '['/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.venv/bin/python', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/sequence_experiment.py', '--skill-snapshot', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/rvprobe/frozen-skill.json', '--history-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/rvprobe/round-2/accepted-history.json', '--design', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/manifest/design.json', '--replay-config', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/manifest/replay.json', '--modinfo', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/rvprobe/round-1/simulation/can_top_urgReport/modinfo.txt', '--feedback-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/rvprobe/round-2/feedback.json', '--out', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/rvprobe/round-2/generation', '--model', 'deepseek-v4-flash-vision-exp', '--temperature', '0.3', '--attempts', '3', '--timeout', '600', '--request-retries', '3', '--jg-time-limit', '120s', '--eda-shell', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/eda-shell', '--sequences-per-intent', '4', '--env-file', '/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.env']' returned non-zero exit status 1.","","665721f0a795e8670bd7cd90d30d6fcf6cf88d140c7feb3e82cd0863c2ec5294","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/can/flow/paired/summary.json","92f1c88d280ccc21875f3ab16cb2d3e3e1856e9fe87f9b6a8dc4bb8ba2c317fc"
"historical_paired","ethmac","haven","","failed","91.93020058233581","84.20751105359646","2","2","8","5","1229855","0","true","888.5448563704267","{""line"":100,""cond"":84.0909090909091,""toggle"":83.62989323843416,""branch"":100}","[""ethmac""]","{""line"":[65,65],""cond"":[132,111],""toggle"":[1686,1410],""branch"":[39,39]}","{""prompt_tokens"":1097117,""completion_tokens"":132738,""total_tokens"":1229855}","1 candidate sequences failed: ethmac_gap_master_dma_unaligned_rx_bd_seq: shared simulation failed or timed out: UVM_ERROR sequence_1.sv(223) @ 8070115000: uvm_test_top.m_env.m_wb_master_agent.m_sequencer@@seq_1 [wait_rx_done_unaligned_1] Poll timeout; UVM_ERROR sequence_1.sv(274) @ 16281115000: uvm_test_top.m_env.m_wb_master_agent.m_sequencer@@seq_1 [wait_rx_done_unaligned_3] Poll timeout; UVM_ERROR :    2","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/summary.json","22b3e6a96287750b0e7f8bc4bd7544e55049149aa5ead04834a6a3877f91f5cc"
"historical_paired","ethmac","rvprobe","","failed","92.93648226032568","84.20751105359646","1","1","16","73","5671472","0","true","2044.993653154932","{""line"":100,""cond"":87.87878787878788,""toggle"":83.86714116251483,""branch"":100}","[""ethmac""]","{""line"":[65,65],""cond"":[132,116],""toggle"":[1686,1414],""branch"":[39,39]}","{""prompt_tokens"":5381086,""completion_tokens"":290386,""total_tokens"":5671472}","Command '['/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.venv/bin/python', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/sequence_experiment.py', '--skill-snapshot', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/rvprobe/frozen-skill.json', '--history-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/rvprobe/round-2/accepted-history.json', '--design', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/manifest/design.json', '--replay-config', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/manifest/replay.json', '--modinfo', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/rvprobe/round-1/simulation/ethmac_urgReport/modinfo.txt', '--feedback-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/rvprobe/round-2/feedback.json', '--out', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/rvprobe/round-2/generation', '--model', 'deepseek-v4-flash-vision-exp', '--temperature', '0.3', '--attempts', '3', '--timeout', '600', '--request-retries', '3', '--jg-time-limit', '120s', '--eda-shell', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/eda-shell', '--sequences-per-intent', '4', '--env-file', '/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.env']' returned non-zero exit status 1.","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ethmac/flow/paired/summary.json","22b3e6a96287750b0e7f8bc4bd7544e55049149aa5ead04834a6a3877f91f5cc"
"historical_paired","i2c","haven","","completed","88.92481046364385","87.37455118376806","2","2","8","2","109207","0","true","209.85331934131682","{""line"":83.63636363636364,""cond"":94.44444444444444,""toggle"":94.85981308411215,""branch"":82.75862068965517}","[""i2c_master_top""]","{""line"":[55,46],""cond"":[36,34],""toggle"":[214,203],""branch"":[29,24]}","{""prompt_tokens"":72735,""completion_tokens"":36472,""total_tokens"":109207}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/i2c/flow/paired/summary.json","f80c5786f9c29625d485b95d4d7c0908ddfd13ec5875e11ab830b5d92187ad0e"
"historical_paired","i2c","rvprobe","","completed","90.43052178243929","87.37455118376806","2","2","32","22","884844","0","true","763.8704707156867","{""line"":83.63636363636364,""cond"":100,""toggle"":95.32710280373831,""branch"":82.75862068965517}","[""i2c_master_top""]","{""line"":[55,46],""cond"":[36,36],""toggle"":[214,204],""branch"":[29,24]}","{""prompt_tokens"":800773,""completion_tokens"":84071,""total_tokens"":884844}","","coverage_stalled","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/i2c/flow/paired/summary.json","f80c5786f9c29625d485b95d4d7c0908ddfd13ec5875e11ab830b5d92187ad0e"
"historical_paired","gpio","haven","","completed","93.08492761526706","78.46032220782536","3","3","12","3","182562","0","true","349.6544821774587","{""line"":100,""cond"":97.76536312849161,""toggle"":74.57434733257662,""branch"":100}","[""gpio_top""]","{""line"":[134,134],""cond"":[179,175],""toggle"":[1762,1314],""branch"":[108,108]}","{""prompt_tokens"":115504,""completion_tokens"":67058,""total_tokens"":182562}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/gpio/flow/paired/summary.json","b34e50dacbf7a66ce02afd8c6e96a7c3b19cb30eb11eb74a22c409ed606ac8dd"
"historical_paired","gpio","rvprobe","","completed","97.90455234338836","78.46032220782536","3","3","48","36","1169550","0","true","1260.0059871850535","{""line"":100,""cond"":98.88268156424581,""toggle"":92.7355278093076,""branch"":100}","[""gpio_top""]","{""line"":[134,134],""cond"":[179,177],""toggle"":[1762,1634],""branch"":[108,108]}","{""prompt_tokens"":993984,""completion_tokens"":175566,""total_tokens"":1169550}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/gpio/flow/paired/summary.json","b34e50dacbf7a66ce02afd8c6e96a7c3b19cb30eb11eb74a22c409ed606ac8dd"
"historical_paired","simple_spi","haven","","completed","91.66708074534162","21.26367609845871","3","3","11","5","292914","0","true","724.0840483885258","{""line"":98.66666666666667,""cond"":98.41269841269842,""toggle"":84.44444444444444,""branch"":93.47826086956522,""fsm"":83.33333333333333}","[""simple_spi_top""]","{""line"":[75,74],""cond"":[63,62],""toggle"":[270,228],""branch"":[46,43],""fsm"":[6,5]}","{""prompt_tokens"":143732,""completion_tokens"":149182,""total_tokens"":292914}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/simple_spi/flow/paired/summary.json","c347c126b9168871e1dadca5d6292c92d913ab75ea86b18b1ea40e9288b595d7"
"historical_paired","simple_spi","rvprobe","","completed","93.16972624798711","21.26367609845871","3","3","48","21","785153","0","true","2372.306574070826","{""line"":98.66666666666667,""cond"":100,""toggle"":90.37037037037037,""branch"":93.47826086956522,""fsm"":83.33333333333333}","[""simple_spi_top""]","{""line"":[75,74],""cond"":[63,63],""toggle"":[270,244],""branch"":[46,43],""fsm"":[6,5]}","{""prompt_tokens"":601072,""completion_tokens"":184081,""total_tokens"":785153}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/simple_spi/flow/paired/summary.json","c347c126b9168871e1dadca5d6292c92d913ab75ea86b18b1ea40e9288b595d7"
"historical_paired","spi","haven","","completed","97.68530901722391","23.295949032335617","3","3","12","4","205266","0","true","525.5949133364484","{""line"":98.80952380952381,""cond"":100,""toggle"":93.61702127659575,""branch"":96,""fsm"":100}","[""spi_top""]","{""line"":[84,83],""cond"":[59,59],""toggle"":[282,264],""branch"":[50,48],""fsm"":[5,5]}","{""prompt_tokens"":110170,""completion_tokens"":95096,""total_tokens"":205266}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/summary.json","bf0041634790044962a29cb29778555b6f85534fcf0b4568c68818a133ebd4dc"
"historical_paired","spi","rvprobe","","failed","95.77041540020264","23.295949032335617","2","2","32","22","763598","0","true","1086.6370894014835","{""line"":98.80952380952381,""cond"":100,""toggle"":84.04255319148936,""branch"":96,""fsm"":100}","[""spi_top""]","{""line"":[84,83],""cond"":[59,59],""toggle"":[282,237],""branch"":[50,48],""fsm"":[5,5]}","{""prompt_tokens"":607283,""completion_tokens"":156315,""total_tokens"":763598}","Command '['/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.venv/bin/python', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/sequence_experiment.py', '--skill-snapshot', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/rvprobe/frozen-skill.json', '--history-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/rvprobe/round-3/accepted-history.json', '--design', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/manifest/design.json', '--replay-config', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/manifest/replay.json', '--modinfo', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/rvprobe/round-2/simulation/spi_top_urgReport/modinfo.txt', '--feedback-file', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/rvprobe/round-3/feedback.json', '--out', '/dev/shm/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/rvprobe/round-3/generation', '--model', 'deepseek-v4-flash-vision-exp', '--temperature', '0.3', '--attempts', '3', '--timeout', '600', '--request-retries', '3', '--jg-time-limit', '120s', '--eda-shell', '/root/yjh-workspace/rvprobe-workspace/zaozi/experiments/eda-shell', '--sequences-per-intent', '4', '--env-file', '/tmp/claude-0/-root-yjh-workspace/491fc915-de96-4db8-85de-375362ef0be6/scratchpad/haven/.env']' returned non-zero exit status 1.","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/spi/flow/paired/summary.json","bf0041634790044962a29cb29778555b6f85534fcf0b4568c68818a133ebd4dc"
"historical_paired","ue_gpio","haven","","failed","54.26065535491905","54.26065535491905","0","0","0","3","175108","0","true","182.68722734693438","{""line"":82.87671232876713,""cond"":54.4,""toggle"":7.890909090909091,""branch"":71.875}","[""gpio""]","{""line"":[146,121],""cond"":[125,68],""toggle"":[2750,217],""branch"":[96,69]}","{""prompt_tokens"":124308,""completion_tokens"":50800,""total_tokens"":175108}","HAVEN DSL generation exhausted schema repair budget","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ue_gpio/flow/paired/summary.json","083d421c610ee56df5f652b6e17b454e8cce167b2a39b6bc27205902d21bc1f4"
"historical_paired","ue_gpio","rvprobe","","completed","97.6185190950602","54.26065535491905","3","3","48","37","1736191","0","true","1577.036043313332","{""line"":98.63013698630137,""cond"":96.8,""toggle"":97.12727272727273,""branch"":97.91666666666667}","[""gpio""]","{""line"":[146,144],""cond"":[125,121],""toggle"":[2750,2671],""branch"":[96,94]}","{""prompt_tokens"":1494812,""completion_tokens"":241379,""total_tokens"":1736191}","","round_budget","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ue_gpio/flow/paired/summary.json","083d421c610ee56df5f652b6e17b454e8cce167b2a39b6bc27205902d21bc1f4"
"historical_paired","ue_spi","haven","","failed","46.04098353646065","46.04098353646065","0","0","0","3","186838","0","true","163.33890134003013","{""line"":68.16143497757848,""cond"":42.19409282700422,""toggle"":11.397058823529411,""branch"":62.4113475177305}","[""spi_lite""]","{""line"":[223,152],""cond"":[237,100],""toggle"":[1088,124],""branch"":[141,88]}","{""prompt_tokens"":141369,""completion_tokens"":45469,""total_tokens"":186838}","HAVEN DSL generation exhausted schema repair budget","","1af1f68c0d5c991d3a25794743e9f593d898b8ec7d2ecde3bc9cd3e4a8e09f31","/var/storage/workspaces/clo91eaf/rvprobe-paired16-parallel-20260912-v1/ue_spi/flow/paired/summary.json","21a012b085e490e5cae4eedb3ae9984f790462d145e5081f2a8111eff121e9b9"
